0,0,0
0,11,0
0,22,0
0,33,1
0,48,1
0,59,1
0,70,1
0,81,1
0,92,1
0,103,1
0,114,1
0,125,0
0,140,0
0,151,1
0,166,0
0,181,1
0,196,0
0,211,0
0,222,1
0,237,0
0,252,0
0,263,0
0,274,0
0,285,1
0,300,1
0,311,1
0,322,1
0,333,0
0,348,0
0,359,0
0,370,0
0,381,0
0,392,1
0,407,0
0,422,1
0,437,0
0,452,1
0,467,0
0,482,0
0,493,0
0,504,0
0,515,1
0,530,0
0,545,0
0,556,0
0,567,1
0,582,0
0,597,1
0,612,1
0,623,1
0,634,0
0,649,0
0,660,1
0,675,0
0,690,1
0,705,0
0,720,0
0,731,0
0,742,1
0,757,0
0,772,1
0,787,1
0,798,1
0,809,1
0,820,1
0,831,1
0,842,1
0,853,0
0,868,0
0,879,0
0,890,0
0,901,0
0,912,0
0,923,1
0,938,1
0,949,0
0,964,0
0,975,0
0,986,0
0,997,1
0,1012,1
0,1023,1
0,1034,1
0,1045,0
0,1060,0
0,1071,0
0,1082,0
0,1093,0
0,1104,1
0,1119,1
0,1130,0
0,1145,0
0,1156,1
0,1171,1
0,1182,1
0,1193,0
0,1208,1
0,1223,1
0,1234,0
0,1249,1
0,1264,0
0,1279,1
0,1294,1
0,1305,1
0,1316,0
0,1331,0
0,1342,0
0,1353,0
0,1364,0
0,1375,0
0,1386,1
0,1401,1
0,1412,0
0,1427,1
0,1442,1
0,1453,0
0,1468,1
0,1483,1
0,1494,1
0,1505,1
0,1516,1
0,1527,1
0,1538,0
0,1553,0
0,1564,1
0,1579,1
0,1590,0
0,1605,0
0,1616,0
0,1627,1
0,1642,1
0,1653,0
0,1668,0
0,1679,1
0,1694,1
0,1705,1
0,1716,0
0,1731,0
0,1742,0
0,1753,0
0,1764,0
0,1775,1
0,1790,0
0,1805,0
0,1816,0
0,1827,1
0,1842,1
0,1853,1
0,1864,1
0,1875,1
0,1886,1
0,1897,0
0,1912,0
0,1923,1
0,1938,1
0,1949,1
0,1960,1
0,1971,1
0,1982,0
0,1997,1
0,2012,0
0,2027,1
0,2042,0
0,2057,0
0,2068,1
0,2083,0
0,2098,1
0,2113,0
0,2128,1
0,2143,0
0,2158,0
0,2169,1
0,2184,0
0,2199,0
0,2210,0
0,2221,0
0,2232,1
0,2247,0
0,2262,1
0,2277,0
0,2292,0
0,2303,0
0,2314,0
0,2325,0
0,2336,0
0,2347,1
0,2362,1
0,2373,0
0,2388,0
0,2399,0
0,2410,0
0,2421,0
0,2432,1
0,2447,0
0,2462,0
0,2473,0
0,2484,1
0,2499,1
0,2510,0
0,2525,1
0,2540,1
0,2551,1
0,2562,0
